S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,10% Prabhu Bank Debenture 2084,1,1020.00,1020.00,1020.00,55.00,56100.00,1028.00,-8.00
2,10.35% Agricultural Bank Debenture 2083,2,1015.10,1015.00,1015.00,260.00,263905.00,1032.00,-17.00
3,11% NIC Asia Debenture 082/83,1,1056.70,1056.70,1056.70,200.00,211340.00,1036.00,20.70
4,12 % Goodwill Finance Limited Debenture 2083,5,1140.00,1125.00,1140.00,671.00,759375.00,1140.00,0.00
5,12% ICFC Finance Limited Debenture 2083,9,1140.00,1118.00,1130.00,884.00,995770.00,1120.00,10.00
6,8.75 % Prime Debenture 2085,1,954.10,954.10,954.10,25.00,23852.50,960.10,-6.00
7,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,50,1475.00,1425.00,1440.00,1634.00,2358438.00,1490.00,-50.00
8,Agriculture Development Bank Limited,341,508.00,494.20,496.00,38949.00,19403293.90,507.90,-11.90
9,Ajod Insurance Limited,86,702.00,685.10,690.00,2754.00,1901709.50,705.10,-15.10
10,Ankhu Khola Jalvidhyut Company Ltd,62,303.00,290.00,290.00,5414.00,1589548.00,304.10,-14.10
11,Api Power Company Ltd.,906,428.00,404.00,412.90,182485.00,75256334.10,428.00,-15.10
12,Arun Kabeli Power Ltd.,603,475.30,452.10,464.00,108734.00,49996126.20,480.00,-16.00
13,Arun Valley Hydropower Development Co. Ltd.,658,403.00,381.60,387.90,131090.00,50987101.60,403.00,-15.10
14,Asha Laghubitta Bittiya Sanstha Ltd,128,1760.00,1644.00,1644.00,6121.00,10310573.70,1681.00,-37.00
15,Asian Life Insurance Co. Limited,82,1156.00,1130.00,1141.00,8095.00,9217303.90,1175.00,-34.00
16,Bank of Kathmandu Ltd.,254,340.00,330.00,330.00,44294.00,14760430.30,339.00,-9.00
17,Barun Hydropower Co. Ltd.,132,410.00,380.00,384.00,14966.00,5813907.00,414.00,-30.00
18,Best Finance Company Ltd.,157,425.00,400.00,410.00,17181.00,7070475.50,429.00,-19.00
19,Bishal Bazar Company Limited,10,5200.00,5145.00,5150.00,165.00,851716.00,5250.00,-100.00
20,Bottlers Nepal (Terai) Limited,18,10237.70,9850.00,9850.00,440.00,4350357.00,10037.00,-187.00
21,Butwal Power Company Limited,181,497.00,485.10,485.10,17713.00,8701754.60,500.00,-14.90
22,CEDB Hydropower Development Company Limited,303,804.00,759.10,779.00,25182.00,19433063.20,820.00,-41.00
23,Central Finance Co. Ltd.,132,503.00,470.00,472.00,18021.00,8595263.00,499.00,-27.00
24,Century Commercial Bank Ltd.,296,239.00,231.00,235.00,57577.00,13441969.90,239.00,-4.00
25,Chandragiri Hills Limited,101,1330.00,1300.00,1300.00,3418.00,4476432.50,1350.00,-50.00
26,Chhimek Laghubitta Bikas Bank Limited,475,1765.00,1690.00,1700.00,29620.00,50670236.30,1770.00,-70.00
27,Chhyangdi Hydropower Ltd.,137,464.00,431.00,433.10,18156.00,8029359.90,465.00,-31.90
